CASEID,YEAR,STATEFIP,EMPSTAT,PED,SED_EAT,ANYSECDRK,ANYSECEAT,ACTIVITY,DURATION,SED_EAT_LN,START
20060101061164,2006,18,1,45,8,1,1,50101,180,0,21:00:00
20060101061209,2006,19,1,165,0,2,2,50101,120,0,8:50:00
20060101061209,2006,19,1,165,0,2,2,50101,295,0,11:05:00
20060101061209,2006,19,1,165,0,2,2,50101,60,0,16:15:00
20060101061211,2006,19,1,75,0,2,2,50101,210,0,9:00:00
20060101061211,2006,19,1,75,0,2,2,50101,105,0,13:15:00
20060101061211,2006,19,1,75,0,2,2,50101,5,0,16:30:00
20060101061226,2006,20,1,80,0,2,2,50101,147,0,7:33:00
20060101061226,2006,20,1,80,0,2,2,50101,130,0,10:20:00
20060101061230,2006,20,1,0,10,1,1,50101,195,5,11:15:00
20060101061230,2006,20,1,0,10,1,1,50101,165,5,14:45:00
20060101061230,2006,20,1,0,10,1,1,50101,135,0,17:45:00
20060101061275,2006,22,1,75,15,2,1,50101,240,0,10:00:00
20060101061275,2006,22,1,75,15,2,1,50101,225,0,14:15:00
20060101061287,2006,23,1,30,0,2,2,50101,540,0,4:00:00
20060101061287,2006,23,1,30,0,2,2,50101,285,0,13:15:00
20060101061287,2006,23,1,30,0,2,2,50101,5,0,3:55:00
20060101061291,2006,24,1,110,0,2,2,50101,306,0,8:54:00
20060101061291,2006,24,1,110,0,2,2,50101,55,0,15:15:00
20060101061321,2006,25,1,55,30,1,1,50101,180,0,7:10:00
20060101061321,2006,25,1,55,30,1,1,50101,120,0,10:20:00
20060101061321,2006,25,1,55,30,1,1,50101,345,0,13:15:00
20060101061352,2006,26,1,85,5,1,1,50103,20,0,5:30:00
20060101061352,2006,26,1,85,5,1,1,50101,10,0,5:50:00
20060101061352,2006,26,1,85,5,1,1,50101,180,0,6:00:00
20060101061352,2006,26,1,85,5,1,1,50101,165,0,9:15:00
20060101061352,2006,26,1,85,5,1,1,50101,150,0,12:30:00
20060101061352,2006,26,1,85,5,1,1,50101,80,0,15:10:00
20060101061356,2006,26,1,45,0,2,2,50101,6,0,9:15:00
20060101061356,2006,26,1,45,0,2,2,50101,30,0,9:21:00
20060101061356,2006,26,1,45,0,2,2,50102,30,0,11:26:00
20060101061360,2006,26,1,90,17,2,1,50101,120,0,8:00:00
20060101061360,2006,26,1,90,17,2,1,50101,105,0,10:15:00
20060101061360,2006,26,1,90,17,2,1,50101,90,0,13:00:00
20060101061360,2006,26,1,90,17,2,1,50101,75,0,14:45:00
20060101061361,2006,26,1,75,0,2,2,50101,30,0,9:15:00
20060101061387,2006,26,1,35,2,2,1,50101,305,2,7:25:00
20060101061387,2006,26,1,35,2,2,1,50101,165,0,12:45:00
20060101061411,2006,26,1,60,0,2,2,50101,240,0,16:00:00
20060101061411,2006,26,1,60,0,2,2,50101,180,0,21:00:00
20060101061423,2006,27,1,65,7,1,1,50101,20,0,16:27:00
20060101061435,2006,27,1,25,0,2,2,50101,225,0,7:15:00
20060101061435,2006,27,1,25,0,2,2,50101,325,0,11:05:00
20060101061438,2006,27,1,90,15,1,1,50101,170,0,7:40:00
20060101061438,2006,27,1,90,15,1,1,50101,255,0,11:00:00
20060101061438,2006,27,1,90,15,1,1,50101,30,0,16:30:00
20060101061472,2006,29,1,35,5,1,1,50101,153,0,16:57:00
20060101061484,2006,29,1,6,35,1,1,50101,20,0,4:51:00
20060101061484,2006,29,1,6,35,1,1,50101,403,0,6:17:00
20060101061484,2006,29,1,6,35,1,1,50101,5,5,13:10:00
20060101061484,2006,29,1,6,35,1,1,50101,336,0,14:09:00
20060101061486,2006,29,1,15,0,2,2,50101,210,0,4:00:00
20060101061486,2006,29,1,15,0,2,2,50101,120,0,15:40:00
20060101061486,2006,29,1,15,0,2,2,50101,240,0,17:55:00
20060101061486,2006,29,1,15,0,2,2,50101,335,0,22:25:00
20060101061497,2006,29,1,55,30,1,1,50101,95,0,7:55:00
20060101061497,2006,29,1,55,30,1,1,50101,80,0,9:40:00
20060101061497,2006,29,1,55,30,1,1,50101,80,0,11:10:00
20060101061522,2006,31,1,30,5,2,1,50101,150,0,6:30:00
20060101061522,2006,31,1,30,5,2,1,50101,165,0,9:15:00
20060101061522,2006,31,1,30,5,2,1,50101,150,0,12:30:00
20060101061531,2006,32,1,75,2,2,1,50101,120,0,16:00:00
20060101061531,2006,32,1,75,2,2,1,50101,120,0,18:05:00
20060101061531,2006,32,1,75,2,2,1,50101,170,0,20:10:00
20060101061552,2006,34,1,90,0,2,2,50101,300,0,7:00:00
20060101061552,2006,34,1,90,0,2,2,50101,120,0,13:00:00
20060101061555,2006,34,1,70,0,2,2,50101,150,0,8:55:00
20060101061555,2006,34,1,70,0,2,2,50101,155,0,11:55:00
20060101061597,2006,34,1,30,15,1,1,50101,370,0,6:50:00
20060101061597,2006,34,1,30,15,1,1,50101,120,5,13:30:00
20060101061614,2006,35,1,45,25,1,1,50101,240,5,7:00:00
20060101061614,2006,35,1,45,25,1,1,50101,225,0,11:15:00
20060101061710,2006,36,1,145,0,2,2,50101,180,0,11:00:00
20060101061729,2006,36,1,50,0,2,2,50101,237,0,5:33:00
20060101061729,2006,36,1,50,0,2,2,50101,207,0,13:03:00
20060101061781,2006,37,1,90,0,2,2,50101,40,0,10:35:00
20060101061781,2006,37,1,90,0,2,2,50101,300,0,11:30:00
20060101061781,2006,37,1,90,0,2,2,50101,30,0,23:07:00
20060101061781,2006,37,1,90,0,2,2,50101,15,0,23:52:00
20060101061783,2006,37,1,50,36,1,1,50101,107,3,7:43:00
20060101061783,2006,37,1,50,36,1,1,50101,140,3,9:40:00
20060101061783,2006,37,1,50,36,1,1,50101,147,0,13:03:00
20060101061783,2006,37,1,50,36,1,1,50101,75,0,15:45:00
20060101061799,2006,37,1,55,2,1,1,50101,60,0,17:55:00
20060101061805,2006,38,1,90,0,2,2,50101,165,0,7:15:00
20060101061805,2006,38,1,90,0,2,2,50101,105,0,10:15:00
20060101061805,2006,38,1,90,0,2,2,50101,120,0,13:00:00
20060101061805,2006,38,1,90,0,2,2,50101,105,0,15:15:00
20060101061834,2006,39,1,92,1,2,1,60102,60,0,10:00:00
20060101061852,2006,39,1,70,0,2,2,50101,60,0,6:10:00
20060101061852,2006,39,1,70,0,2,2,50101,7,0,10:20:00
20060101061854,2006,39,1,60,0,2,2,50101,240,0,9:05:00
