TUCASEID,t110101
20160112150540,45
20160112150542,135
20160112150543,75
20160112150545,115
20160112150546,235
20160112150547,40
20160112150548,45
20160112150552,10
20160112150554,55
20160112150556,15
20160112150561,14
20160112150564,80
20160112150566,20
20160112150567,45
20160112150568,100
20160112150569,45
20160112150570,0
20160112150571,100
20160112150573,105
20160112150582,90
20160112150583,75
20160112150585,60
20160112150586,65
20160112150587,5
20160112150588,90
20160112150592,30
20160112150598,35
20160112150599,75
20160112150600,20
20160112150602,30
20160112150605,105
20160112150607,60
20160112150613,50
20160112150616,65
20160112150617,30
20160112150625,75
20160112150626,150
20160112150628,90
20160112150632,50
20160112150634,40
20160112150639,30
20160112150641,20
20160112150644,180
20160112150648,120
20160112150651,42
20160112150653,48
20160112150661,70
20160112150662,80
20160112150664,141
20160112150667,75
20160112150668,45
20160112150671,70
20160112150675,90
20160112150679,105
20160112150681,50
20160112150685,70
20160112150686,30
20160112150688,90
20160112150696,230
20160112150697,30
20160112150699,90
20160112150701,70
20160112150704,75
20160112150710,45
20160112150719,155
20160112150722,30
20160112150724,72
20160112150725,75
20160112150727,70
20160112150729,90
20160112150731,40
20160112150733,105
20160112150735,5
20160112150743,30
20160112150748,90
20160112150750,60
20160112150751,85
20160112150763,100
20160112150765,70
20160112150767,30
20160112150769,55
20160112150774,155
20160112150777,90
20160112150779,30
20160112150780,270
20160112150784,140
20160112150785,165
20160112150800,125
20160112150804,10
20160112150808,0
20160112150812,0
20160112150814,60
20160112150817,70
20160112150818,130
20160112150819,60
20160112150820,75
20160112150821,300
20160112150822,45
20160112150823,30
20160112150826,0
20160112150828,50
20160112150833,30
20160112150836,45
20160112150838,30
20160112150845,240
20160112150850,30
20160112150852,140
20160112150862,150
20160112150875,60
20160112150876,15
20160112150884,0
20160112150886,30
20160112150887,0
20160112150896,20
20160112150897,43
20160112150898,65
20160112150902,60
20160112150903,65
20160112150908,55
20160112150912,30
20160112150914,45
20160112150916,30
20160112150918,180
20160112150920,85
20160112150921,150
20160112150925,95
20160112150927,90
20160112150929,30
20160112150932,60
20160112150938,60
20160112150939,25
20160112150949,65
20160112150951,70
20160112150953,30
20160112150956,115
20160112150957,75
20160112150960,15
20160112150961,30
20160112150969,45
20160112150972,50
20160112150974,40
20160112150975,20
20160112150979,45
20160112150980,85
20160112150981,110
20160112150982,130
20160112150987,102
20160112150989,10
20160112150991,30
20160112150992,85
20160112150994,197
20160112150995,75
20160112151005,35
20160112151010,45
20160112151011,0
20160112151015,90
20160112151017,50
20160112151020,70
20160112151025,30
20160112151026,40
20160112151027,15
20160112151031,50
20160112151032,60
20160112151033,30
20160112151036,45
20160112151039,50
20160112151045,75
20160112151047,20
20160112151049,30
20160112151051,60
20160112151058,90
20160112151059,20
20160112151069,80
20160112151070,60
20160112151072,15
20160112151078,60
20160112151081,140
20160112151087,95
20160112151088,105
20160112151091,60
20160112151096,35
20160112151097,45
20160112151099,30
20160112151108,120
20160112151110,30
20160112151113,75
20160112151117,40
20160112151119,80
20160112151121,25
20160112151123,30
20160112151124,120
20160112151125,50
20160112151126,60
20160112151128,85
20160112151133,40
20160112151135,35
20160112151136,105
20160112151137,75
20160112151139,55
20160112151140,10
20160112151141,95
20160112151148,0
20160112151150,15
20160112151164,80
20160112151169,136
20160112151172,0
20160112151174,90
20160112151175,100
20160112151183,60
20160112151184,30
20160112151186,100
20160112151188,0
20160112151191,245
20160112151197,40
20160112151201,50
20160112151202,45
20160112151207,55
20160112151208,30
20160112151211,110
20160112151213,243
20160112151215,35
20160112151217,45
20160112151219,50
20160112151222,40
20160112151225,80
20160112151226,5
20160112151229,120
20160112151231,70
20160112151232,90
20160112151233,20
20160112151240,40
20160112151241,30
20160112151248,0
20160112151251,25
20160112151252,0
20160112151253,90
20160112151256,120
20160112151257,120
20160112151258,20
20160112151259,80
20160112151263,30
20160112151265,60
20160112151266,40
20160112151267,50
20160112151269,135
20160112151271,125
20160112151272,45
20160112151273,90
20160112151274,90
20160112151279,55
20160112151282,15
20160112151283,45
20160112151285,60
20160112151287,60
20160112151289,30
20160112151292,30
20160112151299,0
20160112151305,45
20160112151309,35
20160112151316,95
20160112151322,0
20160112151325,30
20160112151329,50
20160112151334,40
20160112151335,45
20160112151340,15
20160112151341,45
20160112151346,78
20160112151351,90
20160112151352,80
20160112151353,195
20160112151355,75
20160112151356,85
20160112151362,75
20160112151363,135
20160112151368,60
20160112151373,30
20160112151377,110
20160112151379,75
20160112151380,67
20160112151384,0
20160112151385,30
20160112151388,120
20160112151390,60
20160112151391,10
20160112151393,80
20160112151395,65
20160112151406,50
20160112151407,110
20160112151410,125
20160112151412,195
20160112151413,90
20160112151415,60
20160112151416,90
20160112151418,30
20160112151419,60
20160112151421,60
20160112151428,70
20160112151431,0
20160112151432,60
20160112151439,0
20160112151444,120
20160112151445,60
20160112151447,35
20160112151450,35
20160112151454,20
20160112151462,120
20160112151467,65
20160112151475,0
20160112151476,110
20160112151477,60
20160112151478,110
20160112151481,95
20160112151483,60
20160112151484,119
20160112151487,0
20160112151489,145
20160112151491,105
20160112151492,145
20160112151493,0
20160112151495,90
20160112151502,59
20160112151503,10
20160112151504,90
20160112151505,30
20160112151506,0
20160112151508,50
20160112151511,75
20160112151512,50
20160112151513,20
20160112151515,65
20160112151516,55
20160112151517,50
20160112151518,80
20160112151520,120
20160112151521,10
20160112151523,60
20160112151527,90
20160112151530,125
20160112151532,30
20160112151536,30
20160112151537,30
20160112151541,50
20160112151546,75
20160112151549,20
20160112151551,150
20160112151554,30
20160112151555,30
20160112151558,45
20160112151566,40
20160112151567,135
20160112151568,150
20160112151569,35
20160112151572,20
20160112151573,75
20160112151580,50
20160112151583,112
20160112151586,80
20160112151587,45
20160112151588,70
20160112151594,27
20160112151598,60
20160112151599,60
20160112151600,180
20160112151605,60
20160112151610,0
20160112151612,30
20160112151617,35
20160112151620,30
20160112151624,85
20160112151626,30
20160112151627,22
20160112151629,30
20160112151636,0
20160112151642,180
20160112151644,90
20160112151646,30
20160112151648,10
20160112151649,90
20160112151650,135
20160112151651,55
20160112151656,145
20160112151661,60
20160112151663,0
20160112151664,55
20160112151668,15
20160112151670,45
20160112151672,300
20160112151674,75
20160112151676,50
20160112151679,65
20160112151681,75
20160112151683,30
20160112151687,5
20160112151688,20
20160112151690,30
20160112151695,60
20160112151697,75
20160112151702,150
20160112151706,45
20160112151711,20
20160112151712,210
20160112151713,120
20160112151715,195
20160112151717,65
20160112151718,95
20160112151726,19
20160112151727,120
20160112151729,120
20160112151731,45
20160112151732,55
20160112151733,60
20160112151734,0
20160112151738,50
20160112151747,20
20160112151750,60
20160112151754,135
20160112151756,30
20160112151759,120
20160112151761,49
20160112151762,35
20160112151764,60
20160112151771,60
20160112151776,0
20160112151778,80
20160112151779,128
20160112151782,30
20160112151787,105
20160112151788,30
20160112151789,90
20160112151790,75
20160112151794,150
20160112151796,15
20160112151797,30
20160112151804,45
20160112151805,135
20160112151807,90
20160112151808,55
20160112151815,120
20160112151816,95
20160112151823,136
20160112151828,60
20160112151830,60
20160112151839,25
20160112151849,95
20160112151856,15
20160112151857,30
20160112151860,90
20160112151861,25
20160112151865,40
20160112151870,65
20160112151872,50
20160112151876,30
20160112151878,0
20160112151879,130
20160112151887,35
20160112151892,75
20160112151893,50
20160112151897,0
20160112151898,75
20160112151907,0
20160112151914,80
20160112151919,70
20160112151922,60
20160112151923,15
20160112151924,60
20160112151926,36
20160112151928,15
20160112151938,60
20160112151942,20
20160112151945,90
20160112151946,130
20160112151948,50
20160112151954,0
20160112151961,60
20160112151963,50
20160112151967,90
20160112151968,85
20160112151971,35
20160112151972,60
20160112151978,90
20160112151981,15
20160112151982,90
20160112151983,50
20160112151984,140
20160112151985,120
20160112151988,13
20160112151992,120
20160112151994,100
20160112151995,45
20160112151997,15
20160112151998,70
20160112151999,30
20160112152001,0
20160112152005,50
20160112152009,60
20160112152010,30
20160112152011,30
20160112152012,30
20160112152014,75
20160112152021,20
20160112152023,165
20160112152026,45
20160112152035,20
20160112152038,60
20160112152040,110
20160112152041,50
20160112152042,70
20160112152044,125
20160112152048,40
20160112152050,180
20160112152052,125
20160112152056,80
20160112152058,30
20160112152059,30
20160112152060,20
20160112152063,30
20160112152068,30
20160112152069,15
20160112152075,50
20160112152077,40
20160112152083,60
20160112152086,25
20160112152088,90
20160112152089,90
20160112152092,65
20160112152094,105
20160112152098,30
20160112152103,95
20160112152104,0
20160112152105,40
20160112152111,50
20160112152115,45
20160112152117,40
20160112152120,75
20160112152122,60
20160112152123,60
20160112152124,30
20160112152127,83
20160112152128,90
20160112152129,55
20160112152134,50
20160112152140,30
20160112152141,60
20160112152142,80
20160112152145,300
20160112152148,80
20160112152149,30
20160112152156,30
20160112152161,55
20160112152170,0
20160112152171,50
20160112152182,150
20160112152183,0
20160112152186,95
20160112152187,60
20160112152189,45
20160112152192,45
20160112152195,165
20160112152196,180
20160112152198,30
20160112152200,75
