CASEID,YEAR,STATEFIP,PED,SED_EAT,ANYSECEAT,ACTIVITY,DURATION,START
20060605060981,2006,12,60,0,2,50101,190,6:50:00
20060605060981,2006,12,60,0,2,50101,105,10:15:00
20060605060986,2006,12,80,2,1,50101,180,9:00:00
20060605060986,2006,12,80,2,1,50101,330,12:30:00
20060605060987,2006,12,20,10,1,50101,87,23:18:00
20060605060991,2006,12,80,0,2,50101,360,6:15:00
20060605060991,2006,12,80,0,2,50101,375,13:15:00
20060605061001,2006,13,0,0,2,50101,30,6:01:00
20060605061001,2006,13,0,0,2,50101,125,10:55:00
20060605061001,2006,13,0,0,2,50101,25,19:50:00
20060605061019,2006,13,30,20,1,50101,30,21:00:00
20060605061033,2006,13,160,15,1,60102,45,9:30:00
20060605061051,2006,13,60,0,2,50101,275,6:55:00
20060605061051,2006,13,60,0,2,50101,210,12:00:00
20060605061068,2006,16,30,55,1,60102,40,16:50:00
20060605061072,2006,16,115,0,2,50101,150,7:00:00
20060605061072,2006,16,115,0,2,50101,135,9:45:00
20060605061072,2006,16,115,0,2,50101,180,12:30:00
20060605061077,2006,17,45,0,2,50101,120,7:00:00
20060605061077,2006,17,45,0,2,50101,120,9:15:00
20060605061077,2006,17,45,0,2,50101,60,11:45:00
20060605061077,2006,17,45,0,2,50101,150,13:00:00
20060605061078,2006,17,90,10,1,60102,143,8:52:00
20060605061086,2006,17,50,20,1,50101,205,9:05:00
20060605061086,2006,17,50,20,1,50101,220,12:50:00
20060605061086,2006,17,50,20,1,50101,120,20:00:00
20060605061096,2006,17,20,0,2,50101,180,9:00:00
20060605061096,2006,17,20,0,2,50101,180,13:00:00
20060605061108,2006,17,50,0,2,50101,235,17:05:00
20060605061108,2006,17,50,0,2,50101,160,21:20:00
20060605061109,2006,17,10,25,1,50101,528,7:57:00
20060605061109,2006,17,10,25,1,50101,10,20:29:00
20060605061110,2006,17,135,0,2,50101,270,8:00:00
20060605061110,2006,17,135,0,2,50101,181,13:29:00
20060605061111,2006,17,120,110,1,50101,340,8:20:00
20060605061112,2006,17,0,30,1,50101,20,9:02:00
20060605061112,2006,17,0,30,1,50101,20,9:32:00
20060605061112,2006,17,0,30,1,50102,2,9:52:00
20060605061112,2006,17,0,30,1,50101,165,15:15:00
20060605061112,2006,17,0,30,1,50101,300,18:30:00
20060605061114,2006,17,15,40,1,50101,720,8:00:00
20060605061129,2006,17,75,0,2,50101,285,8:15:00
20060605061129,2006,17,75,0,2,50101,225,13:45:00
20060605061134,2006,17,0,9996,96,50101,400,7:20:00
20060605061144,2006,17,105,0,2,50101,110,7:10:00
20060605061144,2006,17,105,0,2,50101,120,19:00:00
20060605061144,2006,17,105,0,2,50101,60,21:30:00
20060605061161,2006,18,100,5,1,50101,330,6:30:00
20060605061161,2006,18,100,5,1,50101,125,12:55:00
20060605061163,2006,18,30,30,1,50101,90,4:00:00
20060605061163,2006,18,30,30,1,50101,160,1:20:00
20060605061166,2006,18,20,15,1,50101,560,4:10:00
20060605061171,2006,18,90,0,2,50101,90,6:00:00
20060605061171,2006,18,90,0,2,50101,210,8:00:00
20060605061171,2006,18,90,0,2,50101,150,12:00:00
20060605061175,2006,18,110,20,1,50101,385,6:05:00
20060605061175,2006,18,110,20,1,50101,270,13:50:00
20060605061175,2006,18,110,20,1,50101,30,21:00:00
20060605061188,2006,18,15,9996,96,50101,120,10:45:00
20060605061188,2006,18,15,9996,96,50101,120,12:54:00
20060605061188,2006,18,15,9996,96,50101,181,14:59:00
20060605061196,2006,18,20,0,2,50101,195,9:45:00
20060605061196,2006,18,20,0,2,50101,270,13:30:00
20060605061198,2006,18,60,0,2,50101,360,8:15:00
20060605061198,2006,18,60,0,2,50101,97,15:23:00
20060605061218,2006,20,45,5,1,50101,150,6:30:00
