CASEID,YEAR,FIPS,SED_EAT_TOTAL,SED_WORKING_TOTAL,PRIME_EAT
20060111051547,2006,34,30,15,20
20060111051568,2006,34,25,5,800
20060111051579,2006,35,180,90,90
20060111051664,2006,36,0,0,90
20060111051690,2006,36,0,0,420
20060111051699,2006,36,5,5,120
20060111051706,2006,36,180,0,300
20060111051716,2006,36,10,0,90
20060111051727,2006,37,30,0,90
20060111051753,2006,37,0,0,200
20060111051793,2006,39,0,0,40
20060111051811,2006,39,5,0,80
20060111051835,2006,39,15,5,135
20060111051856,2006,39,0,0,280
20060111051883,2006,41,30,0,102
20060111051901,2006,42,8,0,220
20060111051931,2006,42,0,0,90
20060111051976,2006,44,0,0,130
20060111051999,2006,45,20,0,220
20060111052010,2006,47,15,15,90
20060111052097,2006,48,9,3,360
20060111052108,2006,48,0,0,30
20060111052143,2006,48,0,0,540
20060111052155,2006,48,0,0,60
20060111052179,2006,48,0,0,240
20060111052199,2006,49,10,5,60
20060111052210,2006,50,45,15,480
20060111052240,2006,51,6,2,45
20060111052248,2006,51,0,0,120
20060111052253,2006,51,105,15,420
20060111052254,2006,51,12,0,150
20060111052255,2006,51,30,0,15
20060111052261,2006,53,30,0,0
20060111052271,2006,53,60,0,100
20060111052285,2006,53,14,7,80
20060111052287,2006,53,0,0,60
20060111052340,2006,55,0,0,30
20060111052407,2006,21,0,0,240
20060111052442,2006,27,0,0,65
20060111052473,2006,32,75,0,210
20060111052477,2006,33,10,0,90
20060111052490,2006,41,20,5,200
20060111052521,2006,55,40,10,420
20060111052525,2006,55,0,0,100
20060112050013,2006,6,45,0,105
20060112050030,2006,12,20,0,30
20060112050048,2006,18,20,0,20
20060112050062,2006,24,15,5,375
20060112050075,2006,29,40,0,240
20060112050126,2006,48,0,0,100
20060112050145,2006,9,0,0,240
20060112050148,2006,19,0,0,102
20060112050503,2006,1,30,0,195
20060112050505,2006,1,60,20,0
20060112050506,2006,1,15,15,30
20060112050509,2006,1,0,0,52
20060112050520,2006,1,0,0,40
20060112050532,2006,2,20,10,50
20060112050542,2006,4,0,0,148
20060112050550,2006,4,0,0,135
20060112050551,2006,4,40,20,140
20060112050552,2006,4,0,0,60
20060112050553,2006,4,80,0,220
20060112050576,2006,4,10,0,110
20060112050578,2006,4,15,5,165
20060112050580,2006,5,160,30,200
20060112050581,2006,5,0,0,270
20060112050591,2006,5,0,0,80
20060112050602,2006,5,10,10,40
20060112050615,2006,6,10,0,110
20060112050623,2006,6,795,265,135
20060112050635,2006,6,390,90,45
20060112050637,2006,6,0,0,195
20060112050654,2006,6,6,2,90
20060112050666,2006,6,0,0,40
20060112050670,2006,6,0,0,70
20060112050671,2006,6,0,0,160
20060112050674,2006,6,15,15,30
20060112050681,2006,6,10,0,80
20060112050687,2006,6,0,0,60
20060112050700,2006,6,20,5,220
20060112050701,2006,6,14,0,130
20060112050731,2006,6,15,10,40
20060112050765,2006,6,30,30,60
20060112050769,2006,6,10,5,170
20060112050774,2006,6,60,10,50
20060112050775,2006,6,90,15,135
20060112050782,2006,6,0,0,90
20060112050789,2006,6,120,0,200
20060112050802,2006,6,0,0,90
20060112050806,2006,6,64,2,90
20060112050814,2006,6,45,15,135
20060112050817,2006,6,0,0,140
